time,initial_players,area,mobility_speed,seed,avg_killed_opponents,winner_killed_opponents
1.0,2.0,3.0,1.0,5.0,0.5,1.0
1.0,2.0,3.0,1.0,37.0,0.5,1.0
2.0,2.0,3.0,1.0,31.0,0.5,1.0
8.0,2.0,3.0,1.0,41.0,0.5,1.0
3.0,2.0,3.0,1.0,45.0,0.5,1.0
1.0,2.0,3.0,1.0,34.0,0.5,1.0
1.0,2.0,3.0,1.0,8.0,0.5,1.0
3.0,2.0,3.0,1.0,97.0,0.5,1.0
1.0,2.0,3.0,1.0,49.0,0.5,1.0
2.0,2.0,3.0,1.0,96.0,0.5,1.0
3.0,2.0,3.0,1.0,43.0,0.5,1.0
1.0,2.0,3.0,1.0,62.0,0.5,1.0
2.0,2.0,3.0,1.0,71.0,0.5,1.0
1.0,2.0,3.0,1.0,65.0,0.5,1.0
1.0,2.0,3.0,1.0,26.0,0.5,1.0
1.0,2.0,3.0,1.0,72.0,0.5,1.0
2.0,2.0,3.0,1.0,71.0,0.5,1.0
1.0,2.0,3.0,1.0,59.0,0.5,1.0
1.0,2.0,3.0,1.0,21.0,0.5,1.0
1.0,2.0,3.0,1.0,74.0,0.5,1.0
2.0,2.0,3.0,1.0,79.0,0.5,1.0
1.0,2.0,3.0,1.0,94.0,0.5,1.0
1.0,2.0,3.0,1.0,73.0,0.5,1.0
1.0,2.0,3.0,1.0,55.0,0.5,1.0
2.0,2.0,3.0,1.0,29.0,0.5,1.0
3.0,2.0,3.0,1.0,61.0,0.5,1.0
5.0,2.0,3.0,1.0,56.0,0.5,1.0
3.0,2.0,3.0,1.0,15.0,0.5,1.0
3.0,2.0,3.0,1.0,61.0,0.5,1.0
2.0,2.0,3.0,1.0,96.0,0.5,1.0
0.5,2.0,3.0,2.0,5.0,0.5,1.0
0.5,2.0,3.0,2.0,37.0,0.5,1.0
1.0,2.0,3.0,2.0,31.0,0.5,1.0
4.0,2.0,3.0,2.0,41.0,0.5,1.0
1.5,2.0,3.0,2.0,45.0,0.5,1.0
0.5,2.0,3.0,2.0,34.0,0.5,1.0
0.5,2.0,3.0,2.0,8.0,0.5,1.0
1.5,2.0,3.0,2.0,97.0,0.5,1.0
0.5,2.0,3.0,2.0,49.0,0.5,1.0
1.0,2.0,3.0,2.0,96.0,0.5,1.0
1.5,2.0,3.0,2.0,43.0,0.5,1.0
0.5,2.0,3.0,2.0,62.0,0.5,1.0
1.0,2.0,3.0,2.0,71.0,0.5,1.0
